"","No","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","totals","ratio","pass"
"1",123123,"C","B","B","A, C","D","B","B, C, F","B",11,100,1
"2",272998,"C","A, C","B","A, C","C, D","B, C","A, B, C","B",6.5,59.091,1
"3",272987,"C","A, C","B","A, D","C, D","C","B, C, F","B",5.5,50,1
"4",272993,"C","A, B","B","A, C","D","B","B, C, F","B",10.5,95.455,1
"5",272953,"C","A, B, C","B","A, C","C, D","B","B, C","B",8.5,77.273,1
"6",276774,"C","A, B, C","B","A, C","C, D","B","B, C, F","B",9.5,86.364,1
"7",276776,"C","A, B, C","B","A, C","D","B","A, B, C","B",8.5,77.273,1
"8",272955,"C","A, B, C","B","A, C","C, D","B","B, C, F","B",9.5,86.364,1
"9",276775,"C","A, B, C","B","A, C","C, D","B, D","B, C","B",8,72.727,1
"10",272986,"C","A, B","A","A, B, C","D","B","A, B, C","B",7,63.636,1
"11",272975,"C","B, C","B","A, C","C, D","B","B, C","B",9,81.818,1
"12",272982,"C","A, B, C","B","A, C","C, D","B, D","B, C","B",8,72.727,1
"13",277541,"C","A, B, C","B","A, C","C, D","B, D","B, C, F","B",9,81.818,1
"14",272994,"C","A, B","B","A, C","D","B","A, B, C","B",9,81.818,1
"15",272958,"C","A, B, C","B","A, C","C, D","B","B, C","B",8.5,77.273,1
"16",274231,"C","A, B","A","A, C","D","B, D","A, B, C","B",7,63.636,1
"17",272951,"C","A, B, C","B","A, C","D","B, D","A, B, C","B",8,72.727,1
"18",277538,"C","A, B, C","B","A, C","C, D","B, D","B, C","B",8,72.727,1
"19",272089,"C","A, B","A","A, C","D","B, D","A, B, C","B",7,63.636,1
"20",272981,"C","A, B, C","B","A, C","C, D","B, D","B, C","B",8,72.727,1
"21",272966,"C","A, B","B","A, C","D","B","A, B, C","B",9,81.818,1
"22",272954,"C","A, B","A","A, C","D","B","A, B, C","B",7.5,68.182,1
"23",272995,"C","A, B, C","B","A, C","C, D","B, D","B, C","B",8,72.727,1
"24",272956,"C","A, B","B","A, C","D","B, D","A, B, C","B",8.5,77.273,1
"25",272978,"C","A, B, C","B","A, C","C, D","B, D","B, C","B",8,72.727,1
"26",272965,"C","A, B","A","A, C","D","B","A, B, C","B",7.5,68.182,1
"27",272950,"C","A, B, C","B","A, C","C, D","B, D","B, C, F","A",7.5,68.182,1
"28",272997,"C","A, C","B","A, C","C, D","B","B, C","B",7.5,68.182,1
"29",272989,"C","A, B, C","B","A, C","C, D","B, D","B, C","B",8,72.727,1
"30",271936,"C","A, C","B","A, C","C, D","B, D","B, C, F","B",8,72.727,1
"31",272991,"C","A, B, C","B","A, C","C, D","B, D","B, C, F","B",9,81.818,1
"32",276777,"C","A, B, C","B","A, C","C, D","B, D","B, C","B",8,72.727,1
"33",272985,"C","A, B, C","B","A, C","C, D","B, D","B, C","B",8,72.727,1
